Date : 2023-02-10 00:38:45
Directory : c:\Users\wgngu\Desktop\flask_Bank_Mar\app
Total : 1183 files,  -346081 codes, -150897 comments, -69124 blanks, all -566102 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Markdown         |          2 |         -5 |          0 |         -3 |         -8 |
| Properties       |          2 |         -9 |          0 |         -1 |        -10 |
| XML              |          1 |        -14 |         -1 |         -1 |        -16 |
| Batch            |          3 |        -43 |          0 |        -18 |        -61 |
| PowerShell       |          1 |       -108 |       -330 |        -35 |       -473 |
| CSS              |          1 |       -130 |         -1 |        -20 |       -151 |
| reStructuredText |          7 |       -143 |          0 |        -39 |       -182 |
| JavaScript       |          1 |       -304 |        -17 |        -39 |       -360 |
| C                |          2 |       -488 |         -9 |        -69 |       -566 |
| C++              |         38 |     -5,744 |     -2,608 |     -1,191 |     -9,543 |
| Python           |      1,125 |   -339,093 |   -147,931 |    -67,708 |   -554,732 |
+------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                             | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                |      1,183 |   -346,081 |   -150,897 |    -69,124 |   -566,102 |
| ..                                                                                                                               |      1,183 |   -346,081 |   -150,897 |    -69,124 |   -566,102 |
| .. (Files)                                                                                                                       |          4 |        -12 |          0 |         -2 |        -14 |
| ..\venv                                                                                                                          |      1,179 |   -346,069 |   -150,897 |    -69,122 |   -566,088 |
| ..\venv (Files)                                                                                                                  |          1 |         -5 |          0 |         -1 |         -6 |
| ..\venv\Include                                                                                                                  |          1 |        -78 |        -51 |        -36 |       -165 |
| ..\venv\Include\site                                                                                                             |          1 |        -78 |        -51 |        -36 |       -165 |
| ..\venv\Include\site\python3.11                                                                                                  |          1 |        -78 |        -51 |        -36 |       -165 |
| ..\venv\Include\site\python3.11\greenlet                                                                                         |          1 |        -78 |        -51 |        -36 |       -165 |
| ..\venv\Lib                                                                                                                      |      1,174 |   -345,837 |   -150,516 |    -69,033 |   -565,386 |
| ..\venv\Lib\site-packages                                                                                                        |      1,174 |   -345,837 |   -150,516 |    -69,033 |   -565,386 |
| ..\venv\Lib\site-packages (Files)                                                                                                |          1 |     -1,081 |       -870 |       -259 |     -2,210 |
| ..\venv\Lib\site-packages\Flask-2.2.2.dist-info                                                                                  |          1 |        -23 |          0 |         -6 |        -29 |
| ..\venv\Lib\site-packages\Jinja2-3.1.2.dist-info                                                                                 |          1 |        -23 |          0 |         -6 |        -29 |
| ..\venv\Lib\site-packages\MarkupSafe-2.1.2.dist-info                                                                             |          1 |        -23 |          0 |         -6 |        -29 |
| ..\venv\Lib\site-packages\PyJWT-2.6.0.dist-info                                                                                  |          1 |         -5 |          0 |         -3 |         -8 |
| ..\venv\Lib\site-packages\Werkzeug-2.2.2.dist-info                                                                               |          1 |        -23 |          0 |         -6 |        -29 |
| ..\venv\Lib\site-packages\_distutils_hack                                                                                        |          2 |       -128 |        -46 |        -51 |       -225 |
| ..\venv\Lib\site-packages\click                                                                                                  |         16 |     -5,541 |     -2,866 |     -1,532 |     -9,939 |
| ..\venv\Lib\site-packages\click-8.1.3.dist-info                                                                                  |          1 |        -23 |          0 |         -6 |        -29 |
| ..\venv\Lib\site-packages\colorama                                                                                               |         13 |     -1,287 |       -107 |       -298 |     -1,692 |
| ..\venv\Lib\site-packages\colorama (Files)                                                                                       |          6 |       -661 |        -80 |       -147 |       -888 |
| ..\venv\Lib\site-packages\colorama\tests                                                                                         |          7 |       -626 |        -27 |       -151 |       -804 |
| ..\venv\Lib\site-packages\dotenv                                                                                                 |          8 |       -648 |       -116 |       -167 |       -931 |
| ..\venv\Lib\site-packages\flask                                                                                                  |         22 |     -4,339 |     -3,882 |     -1,273 |     -9,494 |
| ..\venv\Lib\site-packages\flask (Files)                                                                                          |         19 |     -3,933 |     -3,487 |     -1,107 |     -8,527 |
| ..\venv\Lib\site-packages\flask\json                                                                                             |          3 |       -406 |       -395 |       -166 |       -967 |
| ..\venv\Lib\site-packages\greenlet                                                                                               |         57 |     -8,246 |     -3,199 |     -1,796 |    -13,241 |
| ..\venv\Lib\site-packages\greenlet (Files)                                                                                       |         15 |     -4,683 |     -1,789 |       -945 |     -7,417 |
| ..\venv\Lib\site-packages\greenlet\platform                                                                                      |         24 |       -869 |       -772 |       -199 |     -1,840 |
| ..\venv\Lib\site-packages\greenlet\tests                                                                                         |         18 |     -2,694 |       -638 |       -652 |     -3,984 |
| ..\venv\Lib\site-packages\itsdangerous                                                                                           |          8 |       -548 |       -322 |       -200 |     -1,070 |
| ..\venv\Lib\site-packages\itsdangerous-2.1.2.dist-info                                                                           |          1 |        -23 |          0 |         -6 |        -29 |
| ..\venv\Lib\site-packages\jinja2                                                                                                 |         25 |     -8,474 |     -3,550 |     -2,234 |    -14,258 |
| ..\venv\Lib\site-packages\jwt                                                                                                    |         11 |     -1,432 |       -143 |       -374 |     -1,949 |
| ..\venv\Lib\site-packages\markupsafe                                                                                             |          4 |       -476 |        -96 |       -119 |       -691 |
| ..\venv\Lib\site-packages\pip                                                                                                    |        486 |   -129,711 |    -30,568 |    -17,247 |   -177,526 |
| ..\venv\Lib\site-packages\pip (Files)                                                                                            |          3 |        -44 |        -26 |        -27 |        -97 |
| ..\venv\Lib\site-packages\pip\_internal                                                                                          |        149 |    -19,904 |     -5,628 |     -4,520 |    -30,052 |
| ..\venv\Lib\site-packages\pip\_internal (Files)                                                                                  |          9 |     -1,559 |       -499 |       -415 |     -2,473 |
| ..\venv\Lib\site-packages\pip\_internal\cli                                                                                      |         12 |     -1,941 |       -363 |       -408 |     -2,712 |
| ..\venv\Lib\site-packages\pip\_internal\commands                                                                                 |         18 |     -2,604 |       -382 |       -519 |     -3,505 |
| ..\venv\Lib\site-packages\pip\_internal\distributions                                                                            |          5 |       -179 |        -55 |        -38 |       -272 |
| ..\venv\Lib\site-packages\pip\_internal\index                                                                                    |          4 |     -1,138 |       -378 |       -244 |     -1,760 |
| ..\venv\Lib\site-packages\pip\_internal\locations                                                                                |          4 |       -625 |       -222 |       -164 |     -1,011 |
| ..\venv\Lib\site-packages\pip\_internal\metadata                                                                                 |          8 |     -1,013 |       -407 |       -228 |     -1,648 |
| ..\venv\Lib\site-packages\pip\_internal\metadata (Files)                                                                         |          4 |       -695 |       -321 |       -157 |     -1,173 |
| ..\venv\Lib\site-packages\pip\_internal\metadata\importlib                                                                       |          4 |       -318 |        -86 |        -71 |       -475 |
| ..\venv\Lib\site-packages\pip\_internal\models                                                                                   |         12 |       -821 |       -298 |       -226 |     -1,345 |
| ..\venv\Lib\site-packages\pip\_internal\network                                                                                  |          8 |       -900 |       -337 |       -235 |     -1,472 |
| ..\venv\Lib\site-packages\pip\_internal\operations                                                                               |         16 |     -1,710 |       -363 |       -383 |     -2,456 |
| ..\venv\Lib\site-packages\pip\_internal\operations (Files)                                                                       |          4 |       -768 |       -155 |       -151 |     -1,074 |
| ..\venv\Lib\site-packages\pip\_internal\operations\build                                                                         |          8 |       -329 |        -51 |        -91 |       -471 |
| ..\venv\Lib\site-packages\pip\_internal\operations\install                                                                       |          4 |       -613 |       -157 |       -141 |       -911 |
| ..\venv\Lib\site-packages\pip\_internal\req                                                                                      |          6 |     -1,967 |       -464 |       -378 |     -2,809 |
| ..\venv\Lib\site-packages\pip\_internal\resolution                                                                               |         13 |     -2,017 |       -558 |       -419 |     -2,994 |
| ..\venv\Lib\site-packages\pip\_internal\resolution (Files)                                                                       |          2 |        -15 |          0 |         -7 |        -22 |
| ..\venv\Lib\site-packages\pip\_internal\resolution\legacy                                                                        |          2 |       -370 |       -165 |        -67 |       -602 |
| ..\venv\Lib\site-packages\pip\_internal\resolution\resolvelib                                                                    |          9 |     -1,632 |       -393 |       -345 |     -2,370 |
| ..\venv\Lib\site-packages\pip\_internal\utils                                                                                    |         28 |     -2,251 |       -856 |       -637 |     -3,744 |
| ..\venv\Lib\site-packages\pip\_internal\vcs                                                                                      |          6 |     -1,179 |       -446 |       -226 |     -1,851 |
| ..\venv\Lib\site-packages\pip\_vendor                                                                                            |        334 |   -109,763 |    -24,914 |    -12,700 |   -147,377 |
| ..\venv\Lib\site-packages\pip\_vendor (Files)                                                                                    |          3 |     -1,848 |     -1,032 |       -450 |     -3,330 |
| ..\venv\Lib\site-packages\pip\_vendor\cachecontrol                                                                               |         13 |       -828 |       -347 |       -299 |     -1,474 |
| ..\venv\Lib\site-packages\pip\_vendor\cachecontrol (Files)                                                                       |         10 |       -696 |       -293 |       -246 |     -1,235 |
| ..\venv\Lib\site-packages\pip\_vendor\cachecontrol\caches                                                                        |          3 |       -132 |        -54 |        -53 |       -239 |
| ..\venv\Lib\site-packages\pip\_vendor\certifi                                                                                    |          3 |        -58 |        -43 |        -26 |       -127 |
| ..\venv\Lib\site-packages\pip\_vendor\chardet                                                                                    |         45 |    -38,877 |     -1,605 |       -512 |    -40,994 |
| ..\venv\Lib\site-packages\pip\_vendor\chardet (Files)                                                                            |         41 |    -38,548 |     -1,515 |       -490 |    -40,553 |
| ..\venv\Lib\site-packages\pip\_vendor\chardet\cli                                                                                |          2 |        -45 |        -31 |        -12 |        -88 |
| ..\venv\Lib\site-packages\pip\_vendor\chardet\metadata                                                                           |          2 |       -284 |        -59 |        -10 |       -353 |
| ..\venv\Lib\site-packages\pip\_vendor\colorama                                                                                   |          6 |       -583 |        -72 |       -126 |       -781 |
| ..\venv\Lib\site-packages\pip\_vendor\distlib                                                                                    |         13 |     -7,063 |     -2,212 |     -1,204 |    -10,479 |
| ..\venv\Lib\site-packages\pip\_vendor\distro                                                                                     |          3 |       -549 |       -761 |       -125 |     -1,435 |
| ..\venv\Lib\site-packages\pip\_vendor\idna                                                                                       |          8 |    -11,140 |        -37 |       -207 |    -11,384 |
| ..\venv\Lib\site-packages\pip\_vendor\msgpack                                                                                    |          4 |       -853 |       -312 |       -147 |     -1,312 |
| ..\venv\Lib\site-packages\pip\_vendor\packaging                                                                                  |         11 |     -1,730 |       -642 |       -567 |     -2,939 |
| ..\venv\Lib\site-packages\pip\_vendor\pep517                                                                                     |         11 |       -924 |       -311 |       -257 |     -1,492 |
| ..\venv\Lib\site-packages\pip\_vendor\pep517 (Files)                                                                             |          9 |       -691 |       -230 |       -192 |     -1,113 |
| ..\venv\Lib\site-packages\pip\_vendor\pep517\in_process                                                                          |          2 |       -233 |        -81 |        -65 |       -379 |
| ..\venv\Lib\site-packages\pip\_vendor\pkg_resources                                                                              |          2 |     -1,847 |       -903 |       -571 |     -3,321 |
| ..\venv\Lib\site-packages\pip\_vendor\platformdirs                                                                               |          8 |       -601 |       -309 |       -191 |     -1,101 |
| ..\venv\Lib\site-packages\pip\_vendor\pygments                                                                                   |         35 |     -6,256 |     -2,905 |     -1,048 |    -10,209 |
| ..\venv\Lib\site-packages\pip\_vendor\pygments (Files)                                                                           |         16 |     -2,017 |       -770 |       -465 |     -3,252 |
| ..\venv\Lib\site-packages\pip\_vendor\pygments\filters                                                                           |          1 |       -756 |       -133 |        -52 |       -941 |
| ..\venv\Lib\site-packages\pip\_vendor\pygments\formatters                                                                        |         14 |     -2,201 |     -1,199 |       -435 |     -3,835 |
| ..\venv\Lib\site-packages\pip\_vendor\pygments\lexers                                                                            |          3 |     -1,206 |       -790 |        -87 |     -2,083 |
| ..\venv\Lib\site-packages\pip\_vendor\pygments\styles                                                                            |          1 |        -76 |        -13 |         -9 |        -98 |
| ..\venv\Lib\site-packages\pip\_vendor\pyparsing                                                                                  |         11 |     -5,803 |     -3,559 |     -1,100 |    -10,462 |
| ..\venv\Lib\site-packages\pip\_vendor\pyparsing (Files)                                                                          |         10 |     -5,420 |     -3,381 |     -1,018 |     -9,819 |
| ..\venv\Lib\site-packages\pip\_vendor\pyparsing\diagram                                                                          |          1 |       -383 |       -178 |        -82 |       -643 |
| ..\venv\Lib\site-packages\pip\_vendor\requests                                                                                   |         18 |     -2,909 |     -1,658 |       -902 |     -5,469 |
| ..\venv\Lib\site-packages\pip\_vendor\resolvelib                                                                                 |          7 |       -455 |       -260 |       -147 |       -862 |
| ..\venv\Lib\site-packages\pip\_vendor\resolvelib (Files)                                                                         |          5 |       -450 |       -260 |       -144 |       -854 |
| ..\venv\Lib\site-packages\pip\_vendor\resolvelib\compat                                                                          |          2 |         -5 |          0 |         -3 |         -8 |
| ..\venv\Lib\site-packages\pip\_vendor\rich                                                                                       |         75 |    -18,638 |     -4,184 |     -2,467 |    -25,289 |
| ..\venv\Lib\site-packages\pip\_vendor\tenacity                                                                                   |         11 |       -828 |       -358 |       -319 |     -1,505 |
| ..\venv\Lib\site-packages\pip\_vendor\tomli                                                                                      |          4 |       -573 |       -122 |       -128 |       -823 |
| ..\venv\Lib\site-packages\pip\_vendor\urllib3                                                                                    |         38 |     -6,631 |     -3,041 |     -1,802 |    -11,474 |
| ..\venv\Lib\site-packages\pip\_vendor\urllib3 (Files)                                                                            |         11 |     -2,388 |     -1,313 |       -696 |     -4,397 |
| ..\venv\Lib\site-packages\pip\_vendor\urllib3\contrib                                                                            |         10 |     -1,900 |       -684 |       -478 |     -3,062 |
| ..\venv\Lib\site-packages\pip\_vendor\urllib3\contrib (Files)                                                                    |          7 |     -1,302 |       -514 |       -327 |     -2,143 |
| ..\venv\Lib\site-packages\pip\_vendor\urllib3\contrib\_securetransport                                                           |          3 |       -598 |       -170 |       -151 |       -919 |
| ..\venv\Lib\site-packages\pip\_vendor\urllib3\packages                                                                           |          4 |       -773 |       -144 |       -214 |     -1,131 |
| ..\venv\Lib\site-packages\pip\_vendor\urllib3\packages (Files)                                                                   |          2 |       -735 |       -133 |       -210 |     -1,078 |
| ..\venv\Lib\site-packages\pip\_vendor\urllib3\packages\backports                                                                 |          2 |        -38 |        -11 |         -4 |        -53 |
| ..\venv\Lib\site-packages\pip\_vendor\urllib3\util                                                                               |         13 |     -1,570 |       -900 |       -414 |     -2,884 |
| ..\venv\Lib\site-packages\pip\_vendor\webencodings                                                                               |          5 |       -769 |       -241 |       -105 |     -1,115 |
| ..\venv\Lib\site-packages\pkg_resources                                                                                          |         43 |    -12,630 |     -9,097 |     -3,298 |    -25,025 |
| ..\venv\Lib\site-packages\pkg_resources (Files)                                                                                  |          1 |     -1,834 |       -899 |       -564 |     -3,297 |
| ..\venv\Lib\site-packages\pkg_resources\_vendor                                                                                  |         41 |    -10,747 |     -8,183 |     -2,721 |    -21,651 |
| ..\venv\Lib\site-packages\pkg_resources\_vendor (Files)                                                                          |          3 |       -439 |       -386 |       -115 |       -940 |
| ..\venv\Lib\site-packages\pkg_resources\_vendor\importlib_resources                                                              |          9 |       -505 |       -237 |       -206 |       -948 |
| ..\venv\Lib\site-packages\pkg_resources\_vendor\jaraco                                                                           |          4 |       -410 |       -742 |       -189 |     -1,341 |
| ..\venv\Lib\site-packages\pkg_resources\_vendor\jaraco (Files)                                                                   |          3 |       -242 |       -395 |       -104 |       -741 |
| ..\venv\Lib\site-packages\pkg_resources\_vendor\jaraco\text                                                                      |          1 |       -168 |       -347 |        -85 |       -600 |
| ..\venv\Lib\site-packages\pkg_resources\_vendor\more_itertools                                                                   |          3 |     -1,860 |     -2,617 |       -544 |     -5,021 |
| ..\venv\Lib\site-packages\pkg_resources\_vendor\packaging                                                                        |         11 |     -1,730 |       -642 |       -567 |     -2,939 |
| ..\venv\Lib\site-packages\pkg_resources\_vendor\pyparsing                                                                        |         11 |     -5,803 |     -3,559 |     -1,100 |    -10,462 |
| ..\venv\Lib\site-packages\pkg_resources\_vendor\pyparsing (Files)                                                                |         10 |     -5,420 |     -3,381 |     -1,018 |     -9,819 |
| ..\venv\Lib\site-packages\pkg_resources\_vendor\pyparsing\diagram                                                                |          1 |       -383 |       -178 |        -82 |       -643 |
| ..\venv\Lib\site-packages\pkg_resources\extern                                                                                   |          1 |        -49 |        -15 |        -13 |        -77 |
| ..\venv\Lib\site-packages\setuptools                                                                                             |        179 |    -34,888 |    -18,106 |     -8,504 |    -61,498 |
| ..\venv\Lib\site-packages\setuptools (Files)                                                                                     |         30 |     -4,424 |     -2,190 |     -1,195 |     -7,809 |
| ..\venv\Lib\site-packages\setuptools\_distutils                                                                                  |         56 |    -10,005 |     -4,356 |     -2,397 |    -16,758 |
| ..\venv\Lib\site-packages\setuptools\_distutils (Files)                                                                          |         33 |     -6,124 |     -3,300 |     -1,564 |    -10,988 |
| ..\venv\Lib\site-packages\setuptools\_distutils\command                                                                          |         23 |     -3,881 |     -1,056 |       -833 |     -5,770 |
| ..\venv\Lib\site-packages\setuptools\_vendor                                                                                     |         54 |    -12,852 |     -9,507 |     -3,270 |    -25,629 |
| ..\venv\Lib\site-packages\setuptools\_vendor (Files)                                                                             |          4 |     -1,529 |     -1,230 |       -358 |     -3,117 |
| ..\venv\Lib\site-packages\setuptools\_vendor\importlib_metadata                                                                  |          8 |       -691 |       -604 |       -253 |     -1,548 |
| ..\venv\Lib\site-packages\setuptools\_vendor\importlib_resources                                                                 |          9 |       -505 |       -237 |       -206 |       -948 |
| ..\venv\Lib\site-packages\setuptools\_vendor\jaraco                                                                              |          4 |       -410 |       -742 |       -189 |     -1,341 |
| ..\venv\Lib\site-packages\setuptools\_vendor\jaraco (Files)                                                                      |          3 |       -242 |       -395 |       -104 |       -741 |
| ..\venv\Lib\site-packages\setuptools\_vendor\jaraco\text                                                                         |          1 |       -168 |       -347 |        -85 |       -600 |
| ..\venv\Lib\site-packages\setuptools\_vendor\more_itertools                                                                      |          3 |     -1,611 |     -2,371 |       -469 |     -4,451 |
| ..\venv\Lib\site-packages\setuptools\_vendor\packaging                                                                           |         11 |     -1,730 |       -642 |       -567 |     -2,939 |
| ..\venv\Lib\site-packages\setuptools\_vendor\pyparsing                                                                           |         11 |     -5,803 |     -3,559 |     -1,100 |    -10,462 |
| ..\venv\Lib\site-packages\setuptools\_vendor\pyparsing (Files)                                                                   |         10 |     -5,420 |     -3,381 |     -1,018 |     -9,819 |
| ..\venv\Lib\site-packages\setuptools\_vendor\pyparsing\diagram                                                                   |          1 |       -383 |       -178 |        -82 |       -643 |
| ..\venv\Lib\site-packages\setuptools\_vendor\tomli                                                                               |          4 |       -573 |       -122 |       -128 |       -823 |
| ..\venv\Lib\site-packages\setuptools\command                                                                                     |         27 |     -4,845 |     -1,411 |     -1,097 |     -7,353 |
| ..\venv\Lib\site-packages\setuptools\config                                                                                      |         11 |     -2,713 |       -627 |       -532 |     -3,872 |
| ..\venv\Lib\site-packages\setuptools\config (Files)                                                                              |          5 |     -1,258 |       -505 |       -371 |     -2,134 |
| ..\venv\Lib\site-packages\setuptools\config\_validate_pyproject                                                                  |          6 |     -1,455 |       -122 |       -161 |     -1,738 |
| ..\venv\Lib\site-packages\setuptools\extern                                                                                      |          1 |        -49 |        -15 |        -13 |        -77 |
| ..\venv\Lib\site-packages\sqlalchemy                                                                                             |        246 |   -123,154 |    -70,604 |    -28,518 |   -222,276 |
| ..\venv\Lib\site-packages\sqlalchemy (Files)                                                                                     |          7 |       -995 |       -435 |       -288 |     -1,718 |
| ..\venv\Lib\site-packages\sqlalchemy\connectors                                                                                  |          2 |       -178 |        -43 |        -46 |       -267 |
| ..\venv\Lib\site-packages\sqlalchemy\cyextension                                                                                 |          1 |          0 |          0 |         -1 |         -1 |
| ..\venv\Lib\site-packages\sqlalchemy\dialects                                                                                    |         60 |    -20,308 |    -11,681 |     -4,484 |    -36,473 |
| ..\venv\Lib\site-packages\sqlalchemy\dialects (Files)                                                                            |          1 |        -33 |        -16 |        -13 |        -62 |
| ..\venv\Lib\site-packages\sqlalchemy\dialects\mssql                                                                              |          7 |     -2,959 |     -1,871 |       -608 |     -5,438 |
| ..\venv\Lib\site-packages\sqlalchemy\dialects\mysql                                                                              |         19 |     -4,562 |     -2,441 |     -1,027 |     -8,030 |
| ..\venv\Lib\site-packages\sqlalchemy\dialects\oracle                                                                             |          7 |     -3,681 |     -1,450 |       -669 |     -5,800 |
| ..\venv\Lib\site-packages\sqlalchemy\dialects\postgresql                                                                         |         18 |     -6,848 |     -4,016 |     -1,699 |    -12,563 |
| ..\venv\Lib\site-packages\sqlalchemy\dialects\sqlite                                                                             |          8 |     -2,225 |     -1,887 |       -468 |     -4,580 |
| ..\venv\Lib\site-packages\sqlalchemy\engine                                                                                      |         19 |     -9,237 |     -7,859 |     -2,296 |    -19,392 |
| ..\venv\Lib\site-packages\sqlalchemy\event                                                                                       |          6 |     -1,219 |       -445 |       -337 |     -2,001 |
| ..\venv\Lib\site-packages\sqlalchemy\ext                                                                                         |         28 |     -8,140 |     -7,816 |     -1,975 |    -17,931 |
| ..\venv\Lib\site-packages\sqlalchemy\ext (Files)                                                                                 |         12 |     -3,773 |     -4,324 |       -928 |     -9,025 |
| ..\venv\Lib\site-packages\sqlalchemy\ext\asyncio                                                                                 |          7 |     -2,452 |     -2,849 |       -627 |     -5,928 |
| ..\venv\Lib\site-packages\sqlalchemy\ext\declarative                                                                             |          2 |       -224 |       -295 |        -66 |       -585 |
| ..\venv\Lib\site-packages\sqlalchemy\ext\mypy                                                                                    |          7 |     -1,691 |       -348 |       -354 |     -2,393 |
| ..\venv\Lib\site-packages\sqlalchemy\future                                                                                      |          2 |         -7 |        -22 |         -4 |        -33 |
| ..\venv\Lib\site-packages\sqlalchemy\orm                                                                                         |         38 |    -34,912 |    -19,251 |     -7,228 |    -61,391 |
| ..\venv\Lib\site-packages\sqlalchemy\pool                                                                                        |          4 |     -1,294 |       -892 |       -315 |     -2,501 |
| ..\venv\Lib\site-packages\sqlalchemy\sql                                                                                         |         31 |    -29,195 |    -19,243 |     -7,186 |    -55,624 |
| ..\venv\Lib\site-packages\sqlalchemy\testing                                                                                     |         34 |    -13,890 |     -1,858 |     -3,238 |    -18,986 |
| ..\venv\Lib\site-packages\sqlalchemy\testing (Files)                                                                             |         16 |     -4,725 |     -1,358 |     -1,488 |     -7,571 |
| ..\venv\Lib\site-packages\sqlalchemy\testing\plugin                                                                              |          4 |     -1,113 |       -175 |       -363 |     -1,651 |
| ..\venv\Lib\site-packages\sqlalchemy\testing\suite                                                                               |         14 |     -8,052 |       -325 |     -1,387 |     -9,764 |
| ..\venv\Lib\site-packages\sqlalchemy\util                                                                                        |         14 |     -3,779 |     -1,059 |     -1,120 |     -5,958 |
| ..\venv\Lib\site-packages\werkzeug                                                                                               |         46 |    -13,111 |     -6,944 |     -3,124 |    -23,179 |
| ..\venv\Lib\site-packages\werkzeug (Files)                                                                                       |         17 |     -7,829 |     -4,127 |     -1,975 |    -13,931 |
| ..\venv\Lib\site-packages\werkzeug\debug                                                                                         |          7 |     -1,446 |       -247 |       -304 |     -1,997 |
| ..\venv\Lib\site-packages\werkzeug\debug (Files)                                                                                 |          4 |     -1,008 |       -229 |       -242 |     -1,479 |
| ..\venv\Lib\site-packages\werkzeug\debug\shared                                                                                  |          3 |       -438 |        -18 |        -62 |       -518 |
| ..\venv\Lib\site-packages\werkzeug\middleware                                                                                    |          7 |       -783 |       -391 |       -189 |     -1,363 |
| ..\venv\Lib\site-packages\werkzeug\routing                                                                                       |          6 |     -1,328 |       -944 |       -278 |     -2,550 |
| ..\venv\Lib\site-packages\werkzeug\sansio                                                                                        |          6 |     -1,064 |       -543 |       -234 |     -1,841 |
| ..\venv\Lib\site-packages\werkzeug\wrappers                                                                                      |          3 |       -661 |       -692 |       -144 |     -1,497 |
| ..\venv\Scripts                                                                                                                  |          3 |       -149 |       -330 |        -52 |       -531 |
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                         | language         | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\wgngu\Desktop\flask_Bank_Mar\.env                                                                                       | Properties       |         -4 |          0 |          0 |         -4 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\README.md                                                                                  | Markdown         |         -1 |          0 |          0 |         -1 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\gerador_chave.py                                                                           | Python           |         -4 |          0 |         -1 |         -5 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\run.py                                                                                     | Python           |         -3 |          0 |         -1 |         -4 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Include\site\python3.11\greenlet\greenlet.h                                           | C++              |        -78 |        -51 |        -36 |       -165 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\Flask-2.2.2.dist-info\LICENSE.rst                                   | reStructuredText |        -23 |          0 |         -6 |        -29 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\Jinja2-3.1.2.dist-info\LICENSE.rst                                  | reStructuredText |        -23 |          0 |         -6 |        -29 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\MarkupSafe-2.1.2.dist-info\LICENSE.rst                              | reStructuredText |        -23 |          0 |         -6 |        -29 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\PyJWT-2.6.0.dist-info\AUTHORS.rst                                   | reStructuredText |         -5 |          0 |         -3 |         -8 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\Werkzeug-2.2.2.dist-info\LICENSE.rst                                | reStructuredText |        -23 |          0 |         -6 |        -29 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\_distutils_hack\__init__.py                                         | Python           |       -127 |        -46 |        -50 |       -223 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\_distutils_hack\override.py                                         | Python           |         -1 |          0 |         -1 |         -2 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\click-8.1.3.dist-info\LICENSE.rst                                   | reStructuredText |        -23 |          0 |         -6 |        -29 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\click\__init__.py                                                   | Python           |        -66 |         -6 |         -2 |        -74 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\click\_compat.py                                                    | Python           |       -439 |        -62 |       -126 |       -627 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\click\_termui_impl.py                                               | Python           |       -506 |       -100 |       -112 |       -718 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\click\_textwrap.py                                                  | Python           |        -39 |          0 |        -11 |        -50 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\click\_winconsole.py                                                | Python           |       -215 |        -11 |        -54 |       -280 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\click\core.py                                                       | Python           |     -1,565 |     -1,008 |       -426 |     -2,999 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\click\decorators.py                                                 | Python           |       -248 |       -156 |        -94 |       -498 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\click\exceptions.py                                                 | Python           |       -169 |        -62 |        -57 |       -288 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\click\formatting.py                                                 | Python           |       -190 |        -66 |        -46 |       -302 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\click\globals.py                                                    | Python           |        -30 |        -20 |        -19 |        -69 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\click\parser.py                                                     | Python           |       -310 |       -145 |        -75 |       -530 |
